reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
af909e00-e149-4c13-a176-78dff081b062,E. Christian Martinez,https://play-lh.googleusercontent.com/a-/ALV-UjWiQz-EHoe4ENacWz9Ko1vRLksOdyt9eoBbeD-iif6mIVAeCe6sAQ,don't waste your time,1,13,,2024-05-11 02:55:06,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-11 07:55:51,
c41ce785-4b7f-405e-9894-7895b9483783,Jordan Pasilan,https://play-lh.googleusercontent.com/a-/ALV-UjV6qVffbdyGNTEtscZmumzYLKuDgq8k-YaihuMA3Yer6DhghXTd,i like ut but i can't afford to have a premium,3,3,5.368.0,2024-05-11 02:28:18,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-05-11 07:55:49,5.368.0
4f1caab0-4b2f-44e2-8d74-09538f17e646,Jean Elliott,https://play-lh.googleusercontent.com/a/ACg8ocIVDYBFIYZD2bxwZGmipweWwXxCDzoUnPy0nZbZHHba_98Q3w=mo,men can't make the first move,1,5,5.368.0,2024-05-11 02:17:23,"Thank you for your feedback, Jean. The new update of Bumble introduced new ways to make the first move, which offers more choices in how women connect while staying in control. Women now have a choice on how to start conversations by letting men make the first move if they want to. Please contact us at bumble.com/contact if you have any questions.",2024-05-11 09:50:18,5.368.0
79377ca5-e4ae-4ab2-83fb-f8e82f1e628b,Chuck Lemberg,https://play-lh.googleusercontent.com/a/ACg8ocLChqRt7P3ccc5V9iZt0BpsIEn1gnomIUJ8zPftjJdUYWmPcSE=mo,One of only a couple of sites that I have used that actually has real people on it.,4,1,5.368.0,2024-05-11 01:35:05,We appreciate your kind words. 🙌,2024-05-11 07:58:50,5.368.0
5ba11488-6400-4342-a286-5d4907c88a27,jen,https://play-lh.googleusercontent.com/a/ACg8ocLecnYKKzXi4MoPHrJrYRSsUb9g7xArRj5SP4duHkY9oruDzg=mo,"This apps ai wont approve a photo obviously me and i took my profile photos yesterday and did not edit them whatsodamn ever. Matches cant communicate with eachother. Cant put that I got a bachelors degree makes me sound stupid by calling it ""undergraduate"" the only nationality for white people is ""white"" you cant put causes you care about not offered. This is trash.",1,1,,2024-05-11 01:32:17,"Our team moderates based on our photo guidelines (https://bit.ly/3tU0sBS). If you think there’s been a mistake, our team would be more than happy to take a second look. Please send us a message here: bumble.com/contact. We’re here for you! 💛",2024-05-11 07:59:19,
3164ce5b-da9c-476b-b4c0-404a2288bf51,Connor Boyd,https://play-lh.googleusercontent.com/a-/ALV-UjVT-ENBClGEad--5_HiNj9nfLDIcx0qeaatPS3V19lvIBYMnCbnCg,Trash,1,10,,2024-05-11 00:54:30,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-11 07:54:22,
01b6a955-0aaa-4256-a272-842d251ac406,Eric theNinja,https://play-lh.googleusercontent.com/a/ACg8ocIzYeEw6fozx0zZOdOmdtZ-7rdNr58XDinB6HWFXd6IGBJZLg=mo,"Paywalls for everything, have to pay for likes matches and compliments seprately oh yeh plus you gotta pay to have yor profile seen",1,11,5.364.0,2024-05-11 00:47:58,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-05-11 07:54:20,5.364.0
6bf5ed8e-351c-429a-80a7-6c788bb9c185,Roarthis,https://play-lh.googleusercontent.com/a-/ALV-UjWr2zf8A-6_B4fbsElOOWVqqGnRf7FMI-D5SjBtChoryXNeS68,Bots and bots and oh yeah more bots don't forget to pay so bots can talk to u,1,5,,2024-05-11 00:11:27,"We take fake profiles seriously on our platform and have a team dedicated to investigating suspicious accounts. If you’re ever unsure about a profile, please report them in the app and we'll investigate right away!",2024-05-11 07:54:18,
307b43bf-aa1a-4208-9aa0-9295091d20c1,Daniel Johnson,https://play-lh.googleusercontent.com/a/ACg8ocK8EGqXhQoAb8hj0dH7cQ3MvowsV3hK1k0NyzHnaqWyPslu2w=mo,"Bumble decided to ditch it's original ""women make the first move"" concept and switched to just being yellow Tinder with filters.",1,17,,2024-05-11 00:06:32,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-11 07:53:49,
a15c2935-f03b-41c0-ad7f-3bcc3698445b,Schweitzer,https://play-lh.googleusercontent.com/a/ACg8ocIUPfVJkyj5-uUgD71yAkzRTWGjr9nhDQkph6zr8Ov2ZLByLg=mo,Why forcing us to do something that we don't want to do?... Let us rearrange and delete our pictures freely,1,6,5.368.0,2024-05-11 00:04:52,"Our team moderates based on our photo guidelines (https://bit.ly/3tU0sBS). If you think there’s been a mistake, our team would be more than happy to take a second look. Please send us a message here: bumble.com/contact. We’re here for you! 💛",2024-05-11 07:53:19,5.368.0
